measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Latvia,Female,<1 year,Years,1991,74.79082013706302,74.97839195796392,74.5906571724231
Life expectancy,Latvia,Both,<1 year,Years,1991,69.46417400876497,69.5957783439376,69.32925962721497
Life expectancy,Lithuania,Male,<1 year,Years,1991,65.31195184242361,65.4616332693746,65.1746259078229
Life expectancy,Lithuania,Female,<1 year,Years,1991,75.79254904257522,75.96718462166312,75.62537802467041
Life expectancy,Lithuania,Both,<1 year,Years,1991,70.60326881912516,70.72135343290749,70.4933468476262
Life expectancy,Moldova,Male,<1 year,Years,1991,64.09795024271979,64.34943961463853,63.858342131421566
Life expectancy,Moldova,Female,<1 year,Years,1991,71.1004009999283,71.32875524226012,70.86084135635608
Life expectancy,Moldova,Both,<1 year,Years,1991,67.68890301500836,67.91990058738635,67.46486710042629
Life expectancy,Russian Federation,Male,<1 year,Years,1991,63.776885060154406,63.801147000377796,63.75043918659147
Life expectancy,Russian Federation,Female,<1 year,Years,1991,74.52276370098033,74.54832012923102,74.49610366652504
Life expectancy,Russian Federation,Both,<1 year,Years,1991,69.31173653846223,69.32979040362493,69.29393952142091
Life expectancy,Ukraine,Male,<1 year,Years,1991,64.72731064310145,64.94774998667336,64.49707950171526
Life expectancy,Ukraine,Female,<1 year,Years,1991,74.33420955143745,74.53793562046751,74.11989591617079
Life expectancy,Ukraine,Both,<1 year,Years,1991,69.68871934493728,69.87344739393205,69.48809952304785
Life expectancy,Albania,Male,<1 year,Years,2017,74.97389271603826,77.11151760975517,72.83247951255845
Life expectancy,Albania,Female,<1 year,Years,2017,82.1475670626193,84.32427497942813,79.89644638908452
Life expectancy,Albania,Both,<1 year,Years,2017,78.23008180820604,79.69838479617538,76.67148500687469
Life expectancy,Bosnia and Herzegovina,Male,<1 year,Years,2017,74.34804032639303,75.03779269649874,73.62074284671394
Life expectancy,Bosnia and Herzegovina,Female,<1 year,Years,2017,79.06740026310737,79.73818335114589,78.38870255181729
Life expectancy,Bosnia and Herzegovina,Both,<1 year,Years,2017,76.72454719402106,77.21194070475941,76.20957462455681
Life expectancy,Bulgaria,Male,<1 year,Years,2017,71.332789064212,72.10635690962218,70.60123300329566
Life expectancy,Bulgaria,Female,<1 year,Years,2017,78.58027792712049,79.24235593787786,77.88503974832996
Life expectancy,Bulgaria,Both,<1 year,Years,2017,74.88299693116541,75.43039821737351,74.36372307240019
Life expectancy,Croatia,Male,<1 year,Years,2017,75.38986657029676,76.08060641230307,74.7107023756737
Life expectancy,Croatia,Female,<1 year,Years,2017,81.61180039872933,82.2764902449978,80.94751165358089
Life expectancy,Croatia,Both,<1 year,Years,2017,78.53333646640067,79.00782044008173,78.02097832316348
Life expectancy,Czech Republic,Male,<1 year,Years,2017,76.31955171141945,77.00216317546206,75.60380092375178
Life expectancy,Czech Republic,Female,<1 year,Years,2017,81.9644745606752,82.59667215971875,81.29263240228896
Life expectancy,Czech Republic,Both,<1 year,Years,2017,79.16544596596081,79.65709020385735,78.65169995398564
